CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City,State,Zip Code,County Name,PhoneNumber,CMS Region,Condition,Count,Footnote,Location,GeoLocation
13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,,GADSDEN,AL,35903,Etowah,(256) 439-5000,4,Stroke,180,,"801 GOODYEAR AVE GADSDEN, AL 35903 (34.00749, -85.969148)","(32.84057112200048, -86.63186076199969)"
01T113,MOBILE INFIRMARY,POB 2144,,MOBILE,AL,36652,Mobile,(251) 435-3400,4,Stroke,165,,,"(32.84057112200048, -86.63186076199969)"
43031,CHI ST VINCENT SHERWOOD REHABILITATION HOSPITAL,2201 WILDWOOD AVENUE,,SHERWOOD,AR,72120,Pulaski,(501) 834-1800,6,Stroke,261,,"2201 WILDWOOD AVENUE SHERWOOD, AR 72120 (34.81439, -92.208404)","(34.74865012400045, -92.27449074299966)"
04T039,ARKANSAS METHODIST HOSPITAL,900 WEST KINGS HIGHWAY,,PARAGOULD,AR,72451,Greene,(502) 596-6346,6,Brain disease or condition (non-traumatic),22,,,"(34.74865012400045, -92.27449074299966)"
05T039,ENLOE REHABILITATION CENTER,1531 ESPLANADE,,CHICO,CA,95926,Butte,(530) 332-6102,9,Stroke,108,,"1531 ESPLANADE CHICO, CA 95926 (39.742284, -121.849128)","(37.63864012300047, -120.99999953799971)"
05T174,SANTA ROSA MEMORIAL HOSPITAL,1165 MONTGOMERY DR.,,SANTA ROSA,CA,95405,Sonoma,(707) 547-5486,9,Stroke,77,,"1165 MONTGOMERY DR. SANTA ROSA, CA 95405 (38.442954, -122.701112)","(37.63864012300047, -120.99999953799971)"
05T308,EL CAMINO HOSP OF LOS GATOS,355 DARDANELLI,,LOS GATOS,CA,95032,Santa Clara,(502) 596-6346,9,Brain injury (traumatic),17,,"355 DARDANELLI LOS GATOS, CA 95032 (37.262408, -121.967472)","(37.63864012300047, -120.99999953799971)"
07T006,THE STAMFORD HOSPITAL,ONE HOSPITAL PLAZA,PO BOX 9317,STAMFORD,CT,6904,Fairfield,(203) 276-4135,1,Stroke,106,,,"(41.56266102000046, -72.64984095199964)"
08T009,BAYHEALTH HOSPITAL SUSSEX,100 WELLNESS WAY,,MILFORD,DE,19963,Sussex,(502) 596-6346,3,Stroke,167,,,"(39.008830667000495, -75.57774116799965)"
10T034,MOUNT SINAI MEDICAL CENTER,INPATIENT REHAB DEPT.,4300 ALTON ROAD,MIAMI BEACH,FL,33140,Miami-Dade,(305) 674-2121,4,Stroke,61,,,"(28.932040377000476, -81.92896053899966)"
113031,EMORY REHABILITATION HOSPITAL,1441 CLIFTON ROAD,,ATLANTA,GA,30322,DeKalb,(404) 712-5512,4,All other conditions,115,,,"(32.83968109300048, -83.62758034599966)"
11T122,SOUTH GEORGIA MEDICAL CENTER,2501 N PATTERSON ST,,VALDOSTA,GA,31603,Lowndes,(229) 259-4291,4,Stroke,99,,"2501 N PATTERSON ST VALDOSTA, GA 31603 (30.86175, -83.288863)","(32.83968109300048, -83.62758034599966)"
11T165,SOUTHERN REGIONAL MEDICAL CTR,11 UPPER RIVERDALE RD,,RIVERDALE,GA,30274,Clayton,(770) 991-8296,4,Stroke,less than 11,1,,"(32.83968109300048, -83.62758034599966)"
133027,REHABILITATION HOSPITAL OF THE NORTHWEST,3372 E JENALAN AVE,,POST FALLS,ID,83854,Kootenai,(208) 262-8700,10,Spinal cord disease or condition (non-traumatic),31,,,"(43.682630005000476, -114.3637300419997)"
143025,SCHWAB REHABILITATION HOSPITAL,1401 S CALIFORNIA BLVD,,CHICAGO,IL,60608,Cook,(773) 522-2010,5,Nervous system disorder (excluding stroke),19,,,"(40.48501028300046, -88.99771017799969)"
14T067,SAINT FRANCIS MEDICAL CENTER,530 N.E. GLEN OAK AVE,,PEORIA,IL,61637,Peoria,(309) 655-5750,5,Brain disease or condition (non-traumatic),38,,,"(40.48501028300046, -88.99771017799969)"
14T114,SWEDISH COVENANT HOSPITAL,SWEDISH COVENANT HOSPITAL,,CHICAGO,IL,60625,Cook,(773) 989-6248,5,Brain injury (traumatic),12,,,"(40.48501028300046, -88.99771017799969)"
14T223,ADVOCATE LUTHERAN GENERAL HOSPITAL,1775 WEST DEMPTER,,PARK RIDGE,IL,60068,Cook,(847) 723-7218,5,Nervous system disorder (excluding stroke),74,,,"(40.48501028300046, -88.99771017799969)"
15T023,UNION HOSPITAL,MEDICAL REHABILITATION UNIT,1606 N 7TH ST,TERRE HAUTE,IN,47804,Vigo,(812) 238-7362,5,Stroke,88,,,"(39.766910452000445, -86.14996019399968)"
17T200,VIA CHRISTI REHAB UNIT,14800 W ST TERESA,,WICHITA,KS,67235,Sedgwick,(316) 634-3449,7,Stroke,57,,"14800 W ST TERESA WICHITA, KS 67235 (37.721974, -97.511853)","(38.34774030000045, -98.20078122699965)"
18T038,OWENSBORO HEALTH REGIONAL HOSPITAL,REGIONAL REHAB CENTER,1201 PLEASANT VALLEY RD,OWENSBORO,KY,42303,Daviess,(270) 417-2910,4,All other conditions,36,,,"(37.645970271000465, -84.77497104799966)"
18T102,LOURDES REHABILITATION CENTER,1530 LONE OAK ROAD,,PADUCAH,KY,42003,McCracken,(270) 444-2684,4,All other conditions,37,,"1530 LONE OAK ROAD PADUCAH, KY 42003 (37.052989, -88.647857)","(37.645970271000465, -84.77497104799966)"
19T014,TECHE REGIONAL MEDICAL CENTER,1125 MARGUERITE STREET,,MORGAN CITY,LA,70380,St. Mary,(985) 380-4397,6,Hip or femur fracture,13,,"1125 MARGUERITE STREET MORGAN CITY, LA 70380 (29.708471, -91.200157)","(31.31266064400046, -92.44568007099969)"
19T190,CALDWELL MEMORIAL HOSPITAL,P.O. BOX 899,,COLUMBIA,LA,71418,Caldwell,(318) 649-6111,6,Hip or femur fracture,less than 11,1,,"(31.31266064400046, -92.44568007099969)"
23T036,MIDMICHIGAN MEDICAL CENTER-ALPENA,1501 W CHISHOLM ST,,ALPENA,MI,49707,Alpena,(989) 356-7500,5,All other conditions,30,,"1501 W CHISHOLM ST ALPENA, MI 49707 (45.076857, -83.450672)","(44.6613195430005, -84.71439026999968)"
23T269,BEAUMONT HEALTH SYSTEMS,44201 DEQUINDRE RD,,TROY,MI,48085,Oakland,(248) 964-7996,5,Stroke,85,,,"(44.6613195430005, -84.71439026999968)"
